Script,Buy Value,Sym P/E,Div Yield,Buy % Change,Sell % Change,Sell 52W High,Buy 52W High,Rank
AARTIIND,500,25,1,-8,8,95,50,7
AAVAS,1450,25,1,-8,8,95,50,7
ABB,4100,25,1,-8,8,95,50,7
ACC,1800,25,1,-8,8,95,50,7
ACCELYA,1271,25,1,-8,8,95,50,7
ADANIGREEN,900,25,1,-8,8,95,50,7
ADANIPORTS,866,25,1,-8,8,95,50,7
ADANIPOWER,362,25,1,-8,8,95,50,7
AEGISCHEM,320,25,1,-8,8,95,50,7
AIAENG,3200,25,1,-8,8,95,50,7
ALKEM,3300,25,1,-8,8,95,50,7
ALOKINDS,18,25,1,-8,8,95,50,7
AMBER,2500,25,1,-8,8,95,50,7
AMBUJACEM,406.8,25,1,-8,8,95,50,7
APLLTD,591.45,25,1,-8,8,95,50,7
APOLLOPIPE,600,25,1,-8,8,95,50,7
APOLLOTYRE,330,25,1,-8,8,95,50,7
ASAHIINDIA,520,25,1,-8,8,95,50,7
ASHOKLEY,140.2,25,1,-8,8,95,50,7
ASIANENE,130,25,1,-8,8,95,50,7
ASIANPAINT,3000,25,1,-8,8,95,50,7
ASIANTILES,30.9,25,1,-8,8,95,50,7
ASTRAL,1362.975,25,1,-8,8,95,50,7
ATUL,7100,25,1,-8,8,95,50,7
AUBANK,587,25,1,-8,8,95,50,7
AVADHSUGAR,650,25,1,-8,8,95,50,7
AVANTIFEED,380,25,1,-8,8,95,50,7
AXISBANK,902,25,1,-8,8,95,50,7
BAJAJCON,163.8,25,1,-8,8,95,50,7
BAJAJFINSV,1300,25,1,-8,8,95,50,7
BAJFINANCE,6303.6,25,1,-8,8,95,50,7
BALKRISIND,2081.7,25,1,-8,8,95,50,7
BALMLAWRIE,155,25,1,-8,8,95,50,7
BALRAMCHIN,488,25,1,-8,8,95,50,7
BANCOINDIA,350,25,1,-8,8,95,50,7
BANDHANBNK,215.64,25,1,-8,8,95,50,7
BASF,2600,25,1,-8,8,95,50,7
BBOX,200,25,1,-8,8,95,50,7
BBTC,638.4,25,1,-8,8,95,50,7
BCG,14,25,1,-8,8,95,50,7
BEML,1808.1,25,1,-8,8,95,50,7
BEPL,75.51,25,1,-8,8,95,50,7
BHARTIARTL,794,25,1,-8,8,95,50,7
BHEL,65,25,1,-8,8,95,50,7
BLAL,94.08,25,1,-8,8,95,50,7
BLUEDART,6500,25,1,-8,8,95,50,7
BPCL,320,25,1,-8,8,95,50,7
BRITANNIA,4088,25,1,-8,8,95,50,7
CANBK,281,25,1,-8,8,95,50,7
CANBK,281,25,1,-8,8,95,50,7
CAPTRUST,85,25,1,-8,8,95,50,7
CASTROLIND,82.74,25,1,-8,8,95,50,7
CCL,411.5,25,1,-8,8,95,50,7
CEATLTD,1600,25,1,-8,8,95,50,7
CHAMBLFERT,256.95,25,1,-8,8,95,50,7
CHENNPETRO,135.2,25,1,-8,8,95,50,7
CHOLAFIN,722,25,1,-8,8,95,50,7
CIPLA,1136,25,1,-8,8,95,50,7
COCHINSHIP,415,25,1,-8,8,95,50,7
COFFEEDAY,32.58,25,1,-8,8,95,50,7
COFORGE,3227.7,25,1,-8,8,95,50,7
COLPAL,1108.2,25,1,-8,8,95,50,7
CONCOR,785,25,1,-8,8,95,50,7
CREDITACC,749,25,1,-8,8,95,50,7
CROMPTON,280,25,1,-8,8,95,50,7
CUB,118,25,1,-8,8,95,50,7
CUMMINSIND,1103,25,1,-8,8,95,50,7
CUPID,285,25,1,-8,8,95,50,7
CYIENT,697.8,25,1,-8,8,95,50,7
DABUR,493.47,25,1,-8,8,95,50,7
DCBBANK,98,25,1,-8,8,95,50,7
DEEPAKNTR,1871.28,25,1,-8,8,95,50,7
DELTACORP,314.15,25,1,-8,8,95,50,7
DISHTV,15,25,1,-8,8,95,50,7
DIXON,4278.6,25,1,-8,8,95,50,7
DLF,384.5,25,1,-8,8,95,50,7
DRREDDY,5200,25,1,-8,8,95,50,7
EASEMYTRIP,29,25,1,-8,8,95,50,7
EDELWEISS,45,25,1,-8,8,95,50,7
EICHERMOT,2720,25,1,-8,8,95,50,7
EIDPARRY,377.58,25,1,-8,8,95,50,7
EIHOTEL,114.33,25,1,-8,8,95,50,7
EIMCOELECO,704,25,1,-8,8,95,50,7
ELGIEQUIP,400,25,1,-8,8,95,50,7
EMAMIREAL,45,25,1,-8,8,95,50,7
ENGINERSIN,89,25,1,-8,8,95,50,7
EPL,133.5,25,1,-8,8,95,50,7
ERIS,704,25,1,-8,8,95,50,7
ESCORTS,2558,25,1,-8,8,95,50,7
EVEREADY,380,25,1,-8,8,95,50,7
EXIDEIND,191,25,1,-8,8,95,50,7
FDC,298.26,25,1,-8,8,95,50,7
FINEORG,4700,25,1,-8,8,95,50,7
FLUOROCHEM,2900,25,1,-8,8,95,50,7
FORCEMOT,2000,25,1,-8,8,95,50,7
FSC,5.88,25,1,-8,8,95,50,7
FSL,87.66,25,1,-8,8,95,50,7
GAEL,240,25,1,-8,8,95,50,7
GAIL,101,25,1,-8,8,95,50,7
GALAXYSURF,3242,25,1,-8,8,95,50,7
GEPIL,105.3,25,1,-8,8,95,50,7
GICRE,128,25,1,-8,8,95,50,7
GLENMARK,657.9,25,1,-8,8,95,50,7
GMDCLTD,245,25,1,-8,8,95,50,7
GMMPFAUDLR,1250,25,1,-8,8,95,50,7
GMRINFRA,45,25,1,-8,8,95,50,7
GNFC,600,25,1,-8,8,95,50,7
GODFRYPHLP,1545,25,1,-8,8,95,50,7
GODREJAGRO,578,25,1,-8,8,95,50,7
GODREJCP,912.24,25,1,-8,8,95,50,7
GPIL,371,25,1,-8,8,95,50,7
GRANULES,308,25,1,-8,8,95,50,7
